"","Electorate","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Employ_away_from_work","Unemploy","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P","Enrolment"
"66","PINE RIVERS","53732","0.286551775","0.597800194","0.115685253","350","1825","53732","1.976086339","974","713","4691","4332","9009","587","818","10416","0.598764342","0.048437776","0.065984113","1269","206","3","17","17222","1190","290","96","149","378","21149","155","0","538","86","37","812","0","48","24","8","76","164","1054","104","4","6","114","26462",34505
"67","PUMICESTONE","54770","0.215957641","0.505513968","0.278510133","300","1179","54770","1.631012134","593","496","2979","3703","9179","664","993","10840","0.510742996","0.055152253","0.111327649","374","181","0","10","11847","1149","259","110","140","399","14629","59","0","191","19","14","283","0","11","22","4","36","113","435","50","5","0","55","18244",35007
"68","REDCLIFFE","49437","0.211622874","0.559702247","0.228452374","310","1468","49437","1.600628769","938","646","4044","3909","8116","505","938","9557","0.55855816","0.051481645","0.08412207","256","309","0","31","13441","1004","175","144","154","636","16387","160","0","430","45","9","652","0","20","31","12","61","145","858","95","13","8","114","20703",31022
"69","REDLANDS","51755","0.256709497","0.548855183","0.194338711","395","1754","51755","1.935202492","964","670","4233","4205","9356","528","950","10838","0.578586413","0.0472406","0.063135388","111","419","0","10","15726","961","335","54","134","341","18307","14","0","117","12","3","142","0","155","33","5","240","600","985","43","66","61","171","23223",35530
"70","ROCKHAMPTON","49573","0.277610796","0.565247211","0.157182337","270","1485","49573","1.656260941","664","517","3377","2261","7687","663","616","8959","0.570000869","0.052055271","0.09880942","4","292","0","83","14247","1477","222","208","89","726","17544","0","0","4","0","0","13","0","31","14","0","41","142","198","0","4","4","13","20742",32804
"71","SANDGATE","49956","0.248338538","0.5935223","0.158239251","365","1857","49956","1.702235602","1556","870","6080","4093","7142","426","732","8299","0.596081008","0.046571848","0.063500039","1749","772","7","39","14854","1107","188","139","116","352","19595","215","0","445","71","46","785","0","32","52","8","95","144","1025","84","9","8","101","24231",35259
"72","SOUTH BRISBANE","55671","0.159185213","0.746061684","0.094609402","400","2169","55671","1.3048263","5312","1608","13452","4153","4534","352","592","5474","0.590464293","0.038071443","0.07644032","607","4521","3","140","12532","1228","66","1562","224","3570","25647","227","0","23","16","17","286","0","86","87","91","375","282","949","84","46","24","159","31048",32624
"73","SOUTHERN DOWNS","49115","0.252265092","0.53118192","0.216491907","220","1260","49115","1.872313815","490","416","3076","2695","7034","538","830","8402","0.572176411","0.058695451","0.056008524","5","53","3","42","13048","1165","361","113","181","1043","16134","0","0","3","0","0","8","0","4","0","3","8","121","133","8","3","9","15","20373",35137
"74","SOUTHPORT","59729","0.214552395","0.614508865","0.170838286","365","1422","59729","1.58747803","2113","668","6657","4872","8058","498","1031","9583","0.519509017","0.043612425","0.09291641","233","419","581","52","17095","1547","134","306","203","1179","22006","70","10","80","14","3","181","104","13","15","15","155","245","577","63","33","26","121","26456",34867
"75","SPRINGWOOD","49374","0.266273747","0.602989428","0.130858346","370","1920","49374","2.002251019","1439","787","5719","4129","7865","433","773","9071","0.605558029","0.043076581","0.061962007","58","1514","0","36","17125","1184","245","79","131","263","20865","48","0","27","13","0","91","0","265","93","17","380","171","650","31","26","8","64","25280",34555
