"","SED_NAME_2016","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Employ_away_from_work","Unemploy","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P"
"50","Maroochydore",52691,0.193752253705566,0.60490406331252,0.201134918676814,350,1468,52691,1.63498804119686,1355,884,6077,4476,8929,499,989,10414,0.535871985507793,0.045967468015247,0.0704985470053214,43,456,0,19,16635,1056,180,316,208,958,20062,4,0,45,0,0,58,0,11,18,14,46,155,256,14,26,10,53,24630
"51","Maryborough",51102,0.226233806896012,0.531701303275801,0.24190834018238,240,1080,51102,1.77230200174064,359,408,2317,2747,8897,733,883,10509,0.498195340697802,0.0563272448867986,0.122826205840534,7,136,0,28,10745,853,249,179,108,507,12978,0,0,4,0,0,7,0,10,9,3,22,109,133,0,8,0,9,16038
"52","Mermaid Beach",53648,0.219840441395765,0.60490605427975,0.175253504324486,420,1723,53648,1.76502846398914,1927,709,6962,4868,7403,382,988,8773,0.556311198148478,0.0423713726188357,0.064910094356418,217,387,161,35,17777,1169,150,336,194,723,21341,49,3,70,12,9,141,83,16,25,0,134,205,481,39,26,5,67,26268
"53","Mirani",53528,0.266141085039605,0.608223733373188,0.125653863398595,200,1799,53528,2.06228435455086,327,354,2457,2185,9834,561,693,11087,0.617457231726283,0.0614696734059098,0.0715007776049767,4,629,0,12,15332,1164,310,111,216,896,18818,0,0,4,0,0,7,0,79,14,5,101,140,251,0,9,8,21,23876
"54","Moggill",47419,0.287374259263165,0.556085113562074,0.156456272802041,440,2446,47419,2.04476234425473,4267,1432,9527,3940,3910,293,642,4849,0.570139392474418,0.0396825396825397,0.0591410845217952,226,1226,0,26,14249,980,114,385,112,314,17896,131,0,347,55,3,544,0,183,67,20,269,231,1044,68,25,12,104,23357
"55","Morayfield",55741,0.311189250282557,0.577420570136883,0.111641341203064,330,1560,55741,1.99004975124378,486,474,3025,3845,9981,683,891,11555,0.563416960093897,0.0487089201877934,0.0857907863849765,1003,132,6,17,16599,1452,384,61,147,292,20337,110,0,309,86,46,553,0,11,14,5,30,162,738,106,5,7,116,24924
"56","Mount Coot-tha",46006,0.203495196278746,0.701821501543277,0.0946398295874451,420,2611,46006,1.53164931377189,4622,1527,12409,3050,3088,225,418,3733,0.596992807315574,0.0391441066975097,0.0646257274008747,1238,2655,13,113,11887,1157,43,1093,164,2008,20777,318,0,51,32,22,438,0,84,79,53,231,190,855,81,30,17,125,25879
"57","Mount Isa",32588,0.288326991530625,0.619399779059777,0.0923959739781515,180,2021,32588,1.74525252525253,390,266,2015,1299,4984,362,353,5696,0.695928597628072,0.0618657537596283,0.0638219831275217,3,174,0,82,8947,1070,151,197,248,1766,12843,0,0,0,0,0,3,0,6,0,3,9,104,117,0,0,16,23,15307
"58","Mount Ommaney",46446,0.264866726951729,0.592085432545321,0.143155492399776,400,2177,46446,1.85855792114234,2893,1172,8310,3814,4792,327,659,5785,0.595982322217758,0.0415026114905585,0.0595419847328244,1553,565,3,39,14370,994,99,296,134,315,18592,300,0,420,94,35,849,0,55,47,6,111,170,1130,107,10,8,128,23407
"59","Mudgeeraba",56410,0.26812621875554,0.572150327956036,0.159723453288424,420,1743,56410,1.97964307154942,1512,806,5798,4921,8554,469,1018,10037,0.554756195043965,0.0457025683800785,0.0599520383693046,238,195,7,17,19141,1355,234,116,182,374,22063,22,0,100,11,13,150,20,16,29,0,60,167,379,45,13,10,71,27040
"60","Mulgrave",52611,0.309459998859554,0.564615764764023,0.125810191784988,270,1449,52611,1.78207763937598,445,418,2914,2904,8783,653,786,10216,0.569635928341451,0.0530421860810699,0.0921324197143565,6,333,3,40,15431,1505,245,158,224,584,18713,0,0,3,3,0,10,0,8,23,7,43,159,212,0,8,9,22,21993
"61","Mundingburra",44724,0.273656202486361,0.58228244343082,0.143971916644307,300,1660,44724,1.75100295955278,1318,622,4697,2768,6416,503,508,7430,0.547839783978398,0.0502250225022502,0.0991899189918992,7,256,0,45,14025,1289,90,442,151,468,17041,4,0,0,0,0,8,0,16,28,13,58,143,206,0,9,11,15,20015
"62","Murrumba",73389,0.303505975009879,0.565057433675346,0.131600103557754,360,1653,73389,1.83092887876487,1179,776,5762,5479,11608,812,1158,13579,0.587611622962438,0.0490999291282778,0.0829482636428065,732,345,0,49,21928,1855,368,95,203,455,26371,177,0,592,94,13,880,0,28,33,3,70,201,1150,122,11,4,143,32344
"63","Nanango",50313,0.251942837835152,0.532764891777473,0.215391648281756,230,1221,50313,1.91556105239487,450,435,2882,2968,8000,669,877,9539,0.561781470389334,0.0574823688532509,0.0703796734615013,10,138,0,14,12153,967,328,87,154,882,14876,0,0,31,3,0,38,0,8,4,4,20,82,138,3,0,6,13,19243
